TARGET;NAME_CONTRACT_TYPE;CODE_GENDER;FLAG_OWN_REALTY;CNT_CHILDREN;AMT_INCOME_TOTAL;AMT_CREDIT;NAME_INCOME_TYPE;NAME_EDUCATION_TYPE;NAME_FAMILY_STATUS;NAME_HOUSING_TYPE;ORGANIZATION_TYPE;REGION_RATING_CLIENT;OCCUPATION_TYPE;APARTMENTS_AVG;BASEMENTAREA_AVG;YEARS_BUILD_AVG;COMMONAREA_AVG;ENTRANCES_AVG;LANDAREA_AVG
0;Cash loans;F;Y;0;135000;420894;Commercial associate;Higher education;Married;House / apartment;Postal;2;Managers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;211500;1256400;State servant;Secondary / secondary special;Single / not married;House / apartment;University;1;Medicine staff;0.1485;0.1018;NA;NA;0.069;0.0745
0;Cash loans;M;N;0;270000;675000;Working;Secondary / secondary special;Civil marriage;House / apartment;Other;2;NA;0.1227;0.0814;0.8028;0.0159;0.2759;0.1056
0;Cash loans;M;N;0;135000;971280;Working;Secondary / secondary special;Married;House / apartment;School;2;NA;0.0876;0.0395;0.898;0.0428;0.069;0
0;Cash loans;M;Y;0;270000;270000;Working;Secondary / secondary special;Single / not married;With parents;Business Entity Type 3;2;Drivers;0.3804;0.2606;0.8164;0.1758;0.4138;0.2765
0;Cash loans;F;Y;0;144000;592560;Working;Secondary / secondary special;Married;House / apartment;School;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;0;90000;582228;Working;Secondary / secondary special;Married;House / apartment;Agriculture;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;3;45000;545040;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;135000;202500;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;202500;1303812;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;1;135000;269550;Working;Secondary / secondary special;Civil marriage;Municipal apartment;Medicine;1;Laborers;0.0742;0.058;0.8436;0.0063;0.069;0.0188
0;Cash loans;F;N;1;67500;269550;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;112500;127350;Working;Secondary / secondary special;Widow;House / apartment;Other;2;Waiters/barmen staff;0.1969;0.1489;0.7552;0.0809;0.2069;0.061
0;Cash loans;F;Y;2;135000;225000;Working;Higher education;Married;House / apartment;Government;2;Core staff;0.0975;0.0627;0.7892;0.0164;0.069;0.0226
0;Cash loans;F;Y;1;90000;148365;Working;Secondary / secondary special;Separated;House / apartment;Other;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;157500;1436850;Working;Secondary / secondary special;Single / not married;House / apartment;Business Entity Type 3;1;Laborers;0.1582;0.0799;0.7484;NA;0.0862;NA
0;Cash loans;F;N;1;90000;509400;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Laborers;0.1031;0.1132;0.6804;0.0451;0.2069;0.1047
0;Cash loans;F;Y;1;103500;490495.5;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Laborers;NA;NA;NA;NA;NA;NA
1;Cash loans;M;Y;1;225000;544491;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 2;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;1;180000;951853.5;Commercial associate;Secondary / secondary special;Married;House / apartment;School;1;Cooking staff;0.3907;0.1436;0.7144;0.0561;0.3793;0.124
0;Cash loans;M;Y;0;135000;495000;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Managers;0.4268;0.2805;0.7484;NA;0.4138;0.3233
0;Revolving loans;F;N;0;225000;1350000;Commercial associate;Higher education;Married;House / apartment;Business Entity Type 1;2;Core staff;0.2959;0.1799;0.7824;0.0619;0.2069;0.4178
0;Cash loans;M;Y;1;157500;244512;Pensioner;Higher education;Married;House / apartment;XNA;2;NA;0.0619;0.0619;0.7756;0.0274;0.1379;0.0376
0;Cash loans;F;Y;0;171000;1800000;Working;Higher education;Married;House / apartment;School;2;Core staff;0.0784;0.0885;NA;NA;0.1379;0.0072
0;Revolving loans;F;Y;0;112500;180000;Working;Higher education;Married;House / apartment;Business Entity Type 3;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;90000;709866;Pensioner;Secondary / secondary special;Married;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;180000;1432647;Working;Higher education;Single / not married;House / apartment;Business Entity Type 3;2;Laborers;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;Y;1;76500;247500;Working;Secondary / secondary special;Married;With parents;Self-employed;2;Laborers;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;Y;0;90000;157500;Working;Secondary / secondary special;Married;House / apartment;Security;2;Managers;0.1485;0.0859;NA;NA;0.2759;NA
0;Revolving loans;F;Y;0;122850;270000;Working;Secondary / secondary special;Widow;House / apartment;Industry: type 11;2;Laborers;0.0216;0.0581;0.83;0.0024;0.069;0
0;Cash loans;F;Y;0;67500;199080;State servant;Secondary / secondary special;Married;House / apartment;Medicine;2;Waiters/barmen staff;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;1;180000;640080;Commercial associate;Higher education;Separated;With parents;Transport: type 4;1;Drivers;0.0814;0.0829;0.6804;0.0071;0.1379;NA
0;Cash loans;M;Y;0;180000;1574532;Working;Secondary / secondary special;Married;House / apartment;Industry: type 9;2;Drivers;0.0495;0.0467;0.6736;0.0059;0.1034;0.027
0;Cash loans;F;N;0;126000;450000;Working;Secondary / secondary special;Civil marriage;House / apartment;Self-employed;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;157500;1125000;Commercial associate;Higher education;Married;House / apartment;Bank;2;Managers;0.1278;0.0911;NA;NA;0.1724;NA
1;Cash loans;F;Y;0;45000;127350;Pensioner;Secondary / secondary special;Widow;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;112500;225000;Pensioner;Higher education;Married;House / apartment;XNA;2;NA;0.1031;0.0815;0.7144;0.011;0.2069;0.0469
0;Cash loans;M;N;1;315000;702000;Working;Higher education;Married;House / apartment;Self-employed;2;Managers;0.066;NA;0.6396;NA;0.1379;NA
0;Cash loans;M;Y;1;225000;213588;Working;Higher education;Married;House / apartment;Construction;2;NA;0.0722;0.0825;0.7212;0.0292;0.1379;0.019
0;Revolving loans;F;N;1;76500;225000;Working;Secondary / secondary special;Married;House / apartment;Restaurant;2;Cooking staff;0.0928;0.0896;0.7008;0.0427;0.2069;0.0442
0;Cash loans;F;Y;2;112500;720000;Working;Secondary / secondary special;Married;With parents;Self-employed;2;Sales staff;0.1629;0;NA;NA;0.069;0
0;Cash loans;F;Y;0;81000;242950.5;Working;Higher education;Married;House / apartment;Business Entity Type 3;2;Laborers;0.1237;0.0868;NA;NA;0.069;0
0;Revolving loans;M;Y;0;90000;180000;Working;Secondary / secondary special;Separated;House / apartment;Industry: type 3;2;Laborers;0.0124;0.0154;NA;NA;0.069;0.0184
0;Cash loans;F;N;0;108855;157500;State servant;Secondary / secondary special;Married;House / apartment;Kindergarten;3;Core staff;0.0629;0.0709;0.7824;0.0124;0.1379;0.0662
0;Cash loans;M;Y;0;202500;728460;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;189000;781879.5;Pensioner;Secondary / secondary special;Widow;House / apartment;XNA;2;NA;0.1103;NA;NA;NA;0.1034;0.0464
0;Cash loans;F;Y;0;108000;528633;Pensioner;Higher education;Single / not married;House / apartment;XNA;1;NA;0.5196;0.2705;0.7959999999999999;NA;0.2414;0.0993
0;Cash loans;M;Y;0;54000;450000;Pensioner;Secondary / secondary special;Married;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;1;202500;382500;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;3;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;112500;755190;Pensioner;Secondary / secondary special;Civil marriage;House / apartment;XNA;2;NA;0.0124;0.0272;0.5512;0.0014;0.069;0.0225
0;Cash loans;F;Y;0;81000;592560;Working;Secondary / secondary special;Married;House / apartment;Transport: type 4;2;Laborers;0.1485;NA;NA;NA;0.2069;0.145
0;Cash loans;F;N;0;117000;1042560;Commercial associate;Secondary / secondary special;Married;House / apartment;Trade: type 7;1;Sales staff;0.0082;0;NA;NA;0.069;0.0045
0;Cash loans;M;Y;1;193500;1174090.5;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;3;Laborers;0.001;NA;NA;NA;0.0345;NA
0;Cash loans;F;Y;0;67500;513531;Pensioner;Secondary / secondary special;Separated;House / apartment;XNA;3;NA;0.0031;0;0.5784;NA;NA;0.0273
0;Cash loans;F;Y;0;175500;1374480;State servant;Incomplete higher;Widow;Municipal apartment;University;1;High skill tech staff;0.1361;0.0493;0.762;0.166;0.0345;0
0;Revolving loans;F;Y;0;90000;270000;Working;Secondary / secondary special;Married;House / apartment;Postal;2;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;112500;360000;Pensioner;Secondary / secondary special;Widow;House / apartment;XNA;2;NA;0.0928;0.0972;0.8028;0;0.2069;0
0;Revolving loans;M;N;3;193500;135000;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;0;157500;612612;State servant;Secondary / secondary special;Single / not married;With parents;Business Entity Type 3;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;202500;675000;Commercial associate;Higher education;Married;House / apartment;Trade: type 7;2;Sales staff;0.1247;0.0915;0.6328;0.0786;0.2069;0
0;Cash loans;F;N;0;112500;720000;Working;Secondary / secondary special;Married;House / apartment;School;3;Cleaning staff;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;Y;1;202500;202500;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Managers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;135000;292500;Pensioner;Secondary / secondary special;Widow;House / apartment;XNA;2;NA;0.2227;0.1618;NA;NA;0.2069;0.0533
0;Cash loans;F;N;1;135000;1006920;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Managers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;90000;450000;Pensioner;Secondary / secondary special;Single / not married;House / apartment;XNA;2;NA;0.0701;0.0847;0.7484;0.0076;0.1379;0.0686
0;Cash loans;F;N;0;81000;657000;Working;Secondary / secondary special;Married;House / apartment;Postal;2;Managers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;157500;341280;Working;Secondary / secondary special;Single / not married;With parents;Telecom;2;High skill tech staff;0.1268;0.1421;0.8844;NA;0.1607;NA
0;Cash loans;M;N;0;270000;458235;Working;Secondary / secondary special;Single / not married;With parents;Business Entity Type 3;2;Low-skill Laborers;0.0722;0.0779;0.7076;0.0076;0.1379;NA
0;Cash loans;F;Y;0;225000;1463566.5;Working;Secondary / secondary special;Married;House / apartment;Medicine;2;Medicine staff;0.1227;0.127;0.6804;0.0174;0.2759;0.0753
0;Cash loans;M;N;1;135000;592560;Working;Higher education;Married;With parents;Business Entity Type 3;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;1;180000;604152;Working;Secondary / secondary special;Married;Municipal apartment;Business Entity Type 3;1;Laborers;0.0608;0.063;NA;NA;0.1379;0.0109
1;Cash loans;F;Y;0;135000;938034;Working;Secondary / secondary special;Civil marriage;House / apartment;Business Entity Type 3;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;0;81000;104256;State servant;Secondary / secondary special;Single / not married;Municipal apartment;Government;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;3;202500;808650;Working;Secondary / secondary special;Civil marriage;House / apartment;Police;2;Core staff;0.0082;0;0.5512;0.004;0.069;0.0071
0;Cash loans;M;Y;0;225000;835380;Commercial associate;Secondary / secondary special;Married;House / apartment;Cleaning;2;Managers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;40500;78192;Pensioner;Secondary / secondary special;Single / not married;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;135000;269550;State servant;Secondary / secondary special;Civil marriage;House / apartment;Transport: type 2;2;Laborers;0.1103;0.0752;0.7484;0.0064;0.1034;0.0162
1;Cash loans;M;Y;0;99000;312768;Pensioner;Secondary / secondary special;Single / not married;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;202500;747886.5;Pensioner;Secondary / secondary special;Civil marriage;House / apartment;XNA;1;NA;0.2876;0.1239;0.9524;0.0828;0.1379;0.1006
0;Cash loans;F;Y;0;171000;251280;Working;Secondary / secondary special;Married;House / apartment;Government;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;90000;339241.5;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;1;157500;1125000;Commercial associate;Secondary / secondary special;Married;House / apartment;Services;2;Managers;0.4938;NA;NA;NA;0.4483;NA
0;Cash loans;F;Y;2;130500;384048;Pensioner;Secondary / secondary special;Widow;House / apartment;XNA;3;NA;0.0082;0.0098;0.7416;0.001;0.0345;0.0093
0;Cash loans;M;N;2;315000;961146;Working;Incomplete higher;Married;House / apartment;Other;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;117000;536917.5;Pensioner;Secondary / secondary special;Widow;House / apartment;XNA;2;NA;0.0412;NA;0.5784;NA;0.069;NA
0;Cash loans;F;N;0;135000;808650;Working;Secondary / secondary special;Civil marriage;House / apartment;Industry: type 3;2;Laborers;0.099;NA;0.7892;0.0331;0.069;NA
1;Cash loans;M;Y;0;157500;728460;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;NA;0.0124;0;0.5988;0.001;0.069;0.0582
1;Revolving loans;M;N;0;112500;135000;Working;Secondary / secondary special;Single / not married;House / apartment;Business Entity Type 3;2;Security staff;0.0637;0.0466;0.626;0.006;0.1293;0.0159
0;Cash loans;M;Y;0;184500;260640;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;112500;528633;Working;Secondary / secondary special;Widow;House / apartment;Transport: type 2;3;Core staff;0.1825;0.0418;NA;NA;0.0345;0.0325
0;Cash loans;M;Y;4;135000;269550;Commercial associate;Higher education;Married;House / apartment;Self-employed;2;Managers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;1;54000;49500;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;NA;0.8753;0.2227;NA;NA;0.3448;0.3176
0;Revolving loans;M;Y;0;270000;135000;Working;Higher education;Married;House / apartment;Business Entity Type 3;1;High skill tech staff;0.0557;NA;NA;NA;0.0345;NA
0;Cash loans;M;N;0;112500;135000;Working;Secondary / secondary special;Married;Municipal apartment;Other;2;Laborers;0.0062;0;0.3336;0.0014;0.069;0.0126
0;Cash loans;M;Y;0;202500;1493086.5;Working;Secondary / secondary special;Married;House / apartment;Self-employed;2;Drivers;0.0918;0.1073;0.7756;0.0479;0.2414;0.0767
0;Cash loans;F;N;1;157500;604152;Commercial associate;Higher education;Married;House / apartment;Business Entity Type 3;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;0;360000;568858.5;Working;Secondary / secondary special;Married;House / apartment;Agriculture;2;Sales staff;NA;NA;NA;NA;NA;NA
1;Cash loans;F;Y;0;202500;1316155.5;Commercial associate;Secondary / secondary special;Married;House / apartment;Industry: type 7;2;Managers;NA;NA;NA;NA;NA;NA
1;Cash loans;M;N;1;135000;284400;Working;Secondary / secondary special;Separated;Municipal apartment;Construction;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;180000;341280;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;Other;2;Realty agents;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;0;225000;1164667.5;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 2;3;Laborers;0.0923;0.1056;0.6940000000000001;0.0142;0.2069;0.0895
0;Cash loans;M;Y;1;247500;1762110;Commercial associate;Incomplete higher;Married;House / apartment;School;1;High skill tech staff;0.3505;NA;NA;NA;0.3448;NA
0;Cash loans;M;Y;0;315000;961146;Commercial associate;Secondary / secondary special;Married;House / apartment;Self-employed;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;225000;1507869;State servant;Higher education;Married;House / apartment;Kindergarten;2;High skill tech staff;0;0.0567;0.7756;0;0.0345;0
0;Cash loans;M;Y;0;180000;545040;Working;Incomplete higher;Single / not married;House / apartment;Police;1;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;1;108000;254700;Working;Higher education;Married;House / apartment;Business Entity Type 3;2;Accountants;0.0722;0;0.7212;0.0079;0.1379;0.0147
0;Cash loans;M;Y;2;315000;1256400;Commercial associate;Secondary / secondary special;Married;With parents;Construction;2;Drivers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;315000;940500;Pensioner;Secondary / secondary special;Widow;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;81000;343800;Working;Secondary / secondary special;Separated;House / apartment;Government;2;Accountants;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;112500;550080;Commercial associate;Higher education;Single / not married;House / apartment;Trade: type 1;2;Sales staff;0.068;0.0666;NA;NA;NA;0.015
0;Cash loans;M;Y;2;405000;765000;Commercial associate;Incomplete higher;Married;House / apartment;Housing;3;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;2;157500;397017;Commercial associate;Secondary / secondary special;Civil marriage;House / apartment;Industry: type 7;2;NA;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;N;1;90000;270000;Working;Secondary / secondary special;Married;House / apartment;Construction;3;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;135000;254700;Pensioner;Higher education;Widow;House / apartment;XNA;1;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;81000;578979;State servant;Secondary / secondary special;Married;House / apartment;School;3;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;153000;868797;Pensioner;Secondary / secondary special;Single / not married;House / apartment;XNA;3;NA;0.1495;0.2386;0.8572;0.0291;0.1379;0.0885
0;Cash loans;F;N;0;72000;808650;Working;Secondary / secondary special;Civil marriage;Municipal apartment;Other;3;Cleaning staff;0.1186;0.1177;0.7076;0.0283;0.2759;0.1061
0;Cash loans;M;Y;1;225000;679500;Working;Higher education;Married;House / apartment;Industry: type 12;2;Managers;0.1485;0.1047;NA;NA;0.1379;0.2051
0;Cash loans;F;N;0;112500;172512;Commercial associate;Secondary / secondary special;Married;Rented apartment;Business Entity Type 3;3;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;1;112500;675000;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Sales staff;NA;NA;NA;NA;NA;NA
1;Cash loans;F;Y;0;90000;450000;Working;Higher education;Married;House / apartment;Self-employed;2;Managers;0.2278;0.2127;0.7484;0.0546;0.2069;0.10780000000000001
0;Cash loans;F;Y;0;90000;270000;Commercial associate;Incomplete higher;Married;House / apartment;Business Entity Type 3;2;NA;0.1082;0.0453;0.8436;0.0251;0.0345;0.0907
0;Cash loans;M;Y;2;450000;808650;Working;Higher education;Married;House / apartment;Business Entity Type 3;3;Managers;0.0711;0.0654;0.6940000000000001;NA;0.1379;0
0;Cash loans;M;Y;0;85500;436032;Commercial associate;Secondary / secondary special;Married;With parents;Business Entity Type 3;2;Laborers;NA;NA;NA;NA;NA;NA
1;Cash loans;M;Y;0;144000;381528;Working;Secondary / secondary special;Married;House / apartment;Construction;2;Laborers;0.0361;0.0666;0.9524;0.0143;0.0345;0.0602
0;Cash loans;F;N;0;67500;760225.5;Working;Secondary / secondary special;Married;House / apartment;Government;2;Cleaning staff;NA;NA;NA;NA;NA;NA
